"FOLDER AND CATALOG NAME","FILE NAME FILTER TO FIND THE SOFTWARE","CATEGORY","DESCRIPTION","DISPLAY NAME","DEVELOPER NAME OR URL","DEFAULT INSTALL SECTION","MIN OS X","MAX OS X","REQUIRES","UPDATE_FOR","RestartAction","UNINSTALLABLE","OPTIONS for installer (value:name)","NOT CHECK this sub packages (name1 name2)","INSTALLCHECK_SCRIPT","UNINSTALL FILE","ALLOW UNTRUSTED PKGS","NEW VERSION NUMBER","EXTRA_XML_OPTIONS","ALLOWED GROUPS","REMARKS",,,,,,,,,,,,,,
"standard_apps","Hex Fiend","editor","Open source hex editor.","Hex Fiend (Hex editor GUI)","http://ridiculousfish.com/hexfiend/","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","Keka","utilities","Free file archiver to create archives like zip, tar, 7zip, gzip, bzip2 and more.","Keka","http://www.kekaosx.com","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","Komodo Edit 11","editor","Very good editor for development or other text based files.","Komodo Edit 11","https://www.activestate.com/komodo-ide/downloads/edit","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","MacVim","editor","Vim with a GUI for macOS.","MacVim","http://macvim-dev.github.io/macvim/","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","RStudio","science","„RStudio is a set of integrated tools designed to help you be more productive with R. It includes a console, syntax-highlighting editor that supports direct code execution, and a variety of robust tools for plotting, viewing history, debugging and managing your workspace.“ from: https://www.rstudio.com/products/rstudio/download","RStudio","https://www.rstudio.com/products/rstudio/download/","optional_installs","10.6","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","Skim","office","Skim can open and changing PDF files.","Skim","http://skim-app.sourceforge.net","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","SuperDuper!","synchronization","Create full bootable backups on other disks. Some special features needs to register the software.","SuperDuper","http://www.shirt-pocket.com/SuperDuper/SuperDuperDescription.html","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","Table Tool","office","A easy to use and simple CSV editor for macOS.","Table Tool","https://github.com/jakob/TableTool","optional_installs","10.11","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","VLC","multimedia","A free multimedia player.","VLC media player","http://www.videolan.org","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
"standard_apps","Zotero","science","„Zotero [zoh-TAIR-oh] is a free, easy-to-use tool to help you collect, organize, cite, and share your research sources.“ … from the web page<br><br><b>Please note: You can configure Zotero to store his database in our cloud service. The registration of Zotero is optional.</b>","Zotero","https://www.zotero.org/","optional_installs","10.8","10.15.99",,,,,,,,,,,,,,,,,,,,,,,,,,,
